teks	label_klaster
bingung banget pilih jahat	3
guru sertifikasi ajar rebut akibat suasana jahat	3
jahat banget	3
semenjak jahat gampang sakit	3
jemput teman jahat minus pagi malam lingkung palugada sesuai porsi	3
jahat	3
sabar jahat	3
aduh kocak banget ketawa kantor seru maaf trauma jahat habis	3
jahat bang pandai	3
kali lingkung jahat surat	3
bilang jahat omong doang gampang orang rasai moga rasai lingkung jahat kontrak besok makan	3
bodo anjir bolos dasar jahat sono mending	3
kasihan kantor jahat term tenaga kantor salah jaga kantor nilai kantor jujur	3
kuna jahat kuna	3
cina jahat orang takut jahat rana takut jahat orang muda	3
jahat kwanza jahat bana	3
